train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,created_at,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.1434827446937561,0.0005222460022196174,0.1434827446937561,49.0,0,2025-05-10 09:32:28.955161,,,,,,,,,
0.608627438545227,0.002357377437874675,0.608627438545227,99.0,0,2025-05-10 09:33:17.959066,,,,,,,,,
0.17955221235752106,0.0006142132333479822,0.17955221235752106,149.0,0,2025-05-10 09:34:07.102296,,,,,,,,,
0.9295207262039185,0.003973811864852905,0.9295207262039185,199.0,0,2025-05-10 09:34:56.196463,,,,,,,,,
0.31491971015930176,0.001037902431562543,0.31491971015930176,249.0,0,2025-05-10 09:35:45.349007,,,,,,,,,
2.4846010208129883,0.044169895350933075,2.4846010208129883,299.0,0,2025-05-10 09:36:34.527560,,,,,,,,,
0.13421963155269623,0.0004510727012529969,0.13421963155269623,349.0,0,2025-05-10 09:37:23.576121,,,,,,,,,
0.9029243588447571,0.003307017730548978,0.9029243588447571,399.0,0,2025-05-10 09:38:12.667378,,,,,,,,,
,,,,0,2025-05-10 09:41:38.320431,0.5642610192298889,0.00922301597893238,0.5642610192298889,0.5659441947937012,0.005393133964389563,0.5659441947937012,,,
,,,,0,2025-05-10 09:42:09.072652,,,,,,,0.6247477531433105,0.006354044191539288,0.6247477531433105
0.012791194021701813,7.304883911274374e-05,0.012791194021701813,449.0,1,2025-05-10 09:42:59.279484,,,,,,,,,
0.1897202581167221,0.0006905404734425247,0.1897202581167221,499.0,1,2025-05-10 09:43:48.369798,,,,,,,,,
0.0761060118675232,0.00031815379043109715,0.0761060118675232,549.0,1,2025-05-10 09:44:37.332426,,,,,,,,,
,,,,1,2025-05-10 09:45:07.338172,,,,,,,0.58768630027771,0.005252388771623373,0.58768630027771
